symbol,funding_time,year,rate,z,side,r1,r4,r12
LTCUSDT,1692374400000,2023,-8.104e-05,-2.345262555916387,LONG,0.006360061770788921,-0.0009341429917969075,0.0007777864590593054
LTCUSDT,1695340800000,2023,-5.259e-05,-2.6543177808091514,LONG,0.004767406184451549,0.00046235648508020097,-0.002933232516057897
LTCUSDT,1696521600001,2023,6.97e-06,-2.715136234947809,SHORT,-0.004353917622772455,-0.013312890118636398,-0.014695909931861048
LTCUSDT,1696694400000,2023,-9.72e-06,-2.4197412136242846,LONG,-0.0012256781065610636,-0.0019924905051502064,0.006258129254501527
LTCUSDT,1697155200000,2023,-1.943e-05,-2.3093729874212645,LONG,-0.0006532745618579238,0.0003264773127267915,0.007968169649176881
LTCUSDT,1697328000000,2023,-3.818e-05,-2.210273394938827,LONG,0.0056841403549899115,0.003089684545855272,0.0004884800227392408
LTCUSDT,1698796800000,2023,0.00018222,5.610974426111445,SHORT,0.0011627908286901735,0.008900620516006435,0.00568141960888077
LTCUSDT,1698883200001,2023,0.00022961,6.179056006065952,SHORT,0.002283431847021843,0.0012837887791292758,-0.0031312294299875197
LTCUSDT,1699545600000,2023,0.0002294,2.5028612520631377,SHORT,-0.008269722649401491,0.0015494051976338635,-0.040951472414900165
LTCUSDT,1699718400000,2023,0.00036229,5.068130966853282,SHORT,-0.0004005607904548782,-0.013134517180646982,0.005356199200524847
LTCUSDT,1699804800001,2023,0.0002472,2.082644773491293,SHORT,-0,0.0021387523190769682,0.017783036317102777
LTCUSDT,1701676800000,2023,0.00040564,7.517417144918117e+15,SHORT,-0.0005390109280211979,0.005948374981505325,0.02871403178494717
LTCUSDT,1701993600000,2023,0.0003514,3.6893996413117534,SHORT,-0.0010840109462583103,-0.011591988544673413,-0.02516866454191835
LTCUSDT,1702108800000,2023,0.00030544,2.1261730813515856,SHORT,0.0021902991427341315,-0.0009004953332501659,0.009569451016150785
LTCUSDT,1703088000000,2023,0.00029416,5.415106403695997,SHORT,-0.003095977705127992,0.014766703082157915,0.015768492074704946
LTCUSDT,1703750400000,2023,0.00055607,2.059889928091205,SHORT,-0.004447940352582426,0.0009182134835465593,-0.0005243151253946029
LTCUSDT,1704153600000,2024,0.00056726,2.1936631137685376,SHORT,0.003451025458465421,0.004648391396769508,0.013070338108592152
LTCUSDT,1704297600000,2024,0.0001,-2.278497207649963,SHORT,0.0041350851478031015,0.0003057169085261338,-0.0019848849939815465
LTCUSDT,1707955200000,2024,0.00013782,9.302078144902614e+14,SHORT,0.0055393934700389506,0.004969836285341195,0.006964707280319997
LTCUSDT,1708300800000,2024,0.00028549,2.7221871277275826,SHORT,0.002114910904626087,-0.0001408351526868579,0.002397237275784221
LTCUSDT,1708761600001,2024,0.00040356,2.6645800384590737,SHORT,-0.0024406013119550574,-0.006733067482101411,-0.010580596275520104
LTCUSDT,1709193600000,2024,0.00095188,3.66522040113474,SHORT,0.009591526212403051,0.002056245054716673,0.0002416918440769055
LTCUSDT,1709366400001,2024,0.00095507,2.4520795446428134,SHORT,0.009471350539858295,-0.01398624197473987,-0.018895432000978197
LTCUSDT,1709625600000,2024,0.00109604,3.2236800785319377,SHORT,0.002439566523736494,0.008117920588833722,0.14618968871916607
LTCUSDT,1709683200000,2024,0.0001,-2.869286566000203,SHORT,0.013829088151045135,-0.02051167245841077,-0.0235105351388861
LTCUSDT,1710201600000,2024,0.00105457,2.3796076891551943,SHORT,-0.0032294396125181002,0.025714993502798142,0.03247620801780169
LTCUSDT,1711411200000,2024,0.00029759,2.954306551115473,SHORT,-0.0036353661628951823,-0.007038410228631597,-0.006380659711604935
LTCUSDT,1713254400000,2024,1.647e-05,-5.2061973439467994,SHORT,0.0016506892199656157,0.006363773544602654,-0.004935781709330739
LTCUSDT,1713340800000,2024,3.766e-05,-2.843849638948363,SHORT,-0.0026715873659958825,0.013724322389730466,-0.008119811168915525
LTCUSDT,1713456000000,2024,1.194e-05,-3.025457417804531,SHORT,0.011267376057780826,0.002588918415751736,0.019268418865877032
LTCUSDT,1713628800000,2024,2.224e-05,-2.1494924101412662,SHORT,-0.016993564474642914,-0.013476974284042665,-0.010537006270036056
LTCUSDT,1713801600000,2024,-3.24e-06,-2.6600418368822187,LONG,0.007511772411062185,0.015315667353580205,-0.006738012371143377
LTCUSDT,1713888000001,2024,-5.929e-05,-4.072168110074715,LONG,0.0011753644982643967,0.0008229001816271227,0.013201897450431982
LTCUSDT,1714262400000,2024,-6.135e-05,-3.187850029281777,LONG,0.003207605957784538,0.003326208816252376,0.0021395467569819966
LTCUSDT,1715040000000,2024,-5.662e-05,-3.2061488802274316,LONG,0.005669228888817685,-0.002598850543845103,0.009471748036661936
LTCUSDT,1715731200000,2024,-1.571e-05,-2.775421686827548,LONG,0.005842028299325361,0.00647497977308031,0.015419921304239944
LTCUSDT,1716998400000,2024,0.00012767,13.052615223049418,SHORT,-0.0015484488830327734,0.00250641654159035,-0.00166746108192355
LTCUSDT,1717056000000,2024,0.00013036,5.43859350761577,SHORT,-0.0006034639010001744,-0.00625829458663025,-0.01497841195852292
LTCUSDT,1717257600001,2024,0.00018328,11.232176037829698,SHORT,0.0005991970938460286,0.0007190796091248473,-0.0002395783432637368
LTCUSDT,1717315200000,2024,0.00015294,2.9608790451740243,SHORT,0.005082295547435618,0.0016912301687568782,-0.002411092186731995
LTCUSDT,1717401600000,2024,0.00016558,3.210571923253519,SHORT,0.003339299465570774,0.00035724918510351213,0.009931281147723533
LTCUSDT,1717574400000,2024,0.00021008,4.678011776570898,SHORT,-0.00415554174728696,0.0017862463814639926,-0.0104155279372934
