strategy,symbol,entry_time,month,side,norm_return
V54,BNBUSDT,1725638460000,2024-09,SHORT,-0.016803711516
V54,BNBUSDT,1726963260000,2024-09,LONG,-0.016395565756
V54,BNBUSDT,1738468860000,2025-02,SHORT,0.037088582060
V54,BNBUSDT,1738656060000,2025-02,SHORT,-0.027239446099
V54,BNBUSDT,1738706460000,2025-02,SHORT,-0.027413180810
V54,BNBUSDT,1739412060000,2025-02,LONG,-0.026168105839
V54,BNBUSDT,1740668460000,2025-02,SHORT,0.037846559465
V54,BNBUSDT,1741618860000,2025-03,SHORT,0.039723587259
V54,BNBUSDT,1745366460000,2025-04,LONG,-0.016458101842
V54,BNBUSDT,1746774060000,2025-05,LONG,0.049172452313
V54,BNBUSDT,1746921720000,2025-05,LONG,-0.017665424530
V54,BNBUSDT,1747864860000,2025-05,LONG,-0.017538605193
V54,BNBUSDT,1752170460000,2025-07,LONG,0.018870685174
V54,BNBUSDT,1752699660000,2025-07,LONG,0.044236900633
V54,BNBUSDT,1754661660000,2025-08,LONG,0.048638956589
V54,BNBUSDT,1757235660000,2025-09,LONG,0.021316048269
V54,BNBUSDT,1758419100000,2025-09,LONG,-0.019464886698
V54,BNBUSDT,1759402860000,2025-10,LONG,0.042179752276
V54,BNBUSDT,1759447860000,2025-10,LONG,0.034765310706
V54,BNBUSDT,1759507260000,2025-10,LONG,-0.028753266093
V54,BNBUSDT,1759518060000,2025-10,LONG,-0.023288179242
V54,BNBUSDT,1763409660000,2025-11,SHORT,-0.026088694958
V54,BNBUSDT,1763683260000,2025-11,SHORT,0.057120719445
V54,BNBUSDT,1766037660000,2025-12,SHORT,-0.020852472269
V54,BNBUSDT,1767614460000,2026-01,LONG,-0.017997645989
V54,BNBUSDT,1769943660000,2026-02,SHORT,-0.017029885883
V54,BNBUSDT,1770206460000,2026-02,SHORT,0.041144359976
V54,BNBUSDT,1770229980000,2026-02,SHORT,0.043196750427
V54,BNBUSDT,1770307260000,2026-02,SHORT,0.067020613155
V54,BNBUSDT,1771916460000,2026-02,SHORT,-0.016856624258
V54,BNBUSDT,1772989260000,2026-03,SHORT,-0.017258012346
V54,BNBUSDT,1773633660000,2026-03,LONG,-0.018338320915
V54,BNBUSDT,1778054460000,2026-05,LONG,0.018907123923
V54,BNBUSDT,1778666460000,2026-05,LONG,-0.024412516029
V54,BNBUSDT,1780196460000,2026-05,LONG,-0.029727260749
V54,BNBUSDT,1787216460000,2026-08,LONG,0.043712330668
V54,BNBUSDT,1787353320000,2026-08,LONG,-0.017779636835
ID121,BTCUSDT,1725651480000,2024-09,SHORT,-0.024777430688
ID121,BTCUSDT,1726750860000,2024-09,LONG,0.034385185109
ID121,BTCUSDT,1727427660000,2024-09,LONG,-0.017147821564
ID121,BTCUSDT,1730210520000,2024-10,LONG,-0.018161144661
ID121,BTCUSDT,1730923260000,2024-11,LONG,0.042137526528
ID121,BTCUSDT,1731261660000,2024-11,LONG,0.095681280454
ID121,BTCUSDT,1732190460000,2024-11,LONG,-0.017766812825
ID121,BTCUSDT,1734364860000,2024-12,LONG,-0.017088502863
ID121,BTCUSDT,1740409260000,2025-02,SHORT,0.073306834639
ID121,BTCUSDT,1740574860000,2025-02,SHORT,0.042398389204
ID121,BTCUSDT,1740675660000,2025-02,SHORT,0.038793246099
ID121,BTCUSDT,1741539660000,2025-03,SHORT,0.040267811443
ID121,BTCUSDT,1743343260000,2025-03,SHORT,-0.016599358522
ID121,BTCUSDT,1745326860000,2025-04,LONG,0.047131643608
ID121,BTCUSDT,1752314460000,2025-07,LONG,-0.017173272564
ID121,BTCUSDT,1754870460000,2025-08,LONG,-0.017666788001
ID121,BTCUSDT,1759363260000,2025-10,LONG,0.021823396743
ID121,BTCUSDT,1762246860000,2025-11,SHORT,0.033879917049
ID121,BTCUSDT,1763125260000,2025-11,SHORT,0.033674154324
ID121,BTCUSDT,1763694240000,2025-11,SHORT,0.034903015446
ID121,BTCUSDT,1763809260000,2025-11,SHORT,-0.016709709458
ID121,BTCUSDT,1764594060000,2025-12,SHORT,-0.023994836958
ID121,BTCUSDT,1765116060000,2025-12,SHORT,-0.016816354673
ID121,BTCUSDT,1767625260000,2026-01,LONG,-0.016514912925
ID121,BTCUSDT,1769331660000,2026-01,SHORT,-0.016357348587
ID121,BTCUSDT,1769738460000,2026-01,SHORT,-0.023647118834
ID121,BTCUSDT,1769850060000,2026-01,SHORT,0.052221116848
ID121,BTCUSDT,1769983260000,2026-02,SHORT,-0.018593115975
ID121,BTCUSDT,1770213660000,2026-02,SHORT,0.047818948756
ID121,BTCUSDT,1770296460000,2026-02,SHORT,0.042689489864
ID121,BTCUSDT,1773633660000,2026-03,LONG,-0.016790446574
ID121,BTCUSDT,1775750520000,2026-04,LONG,-0.017311624590
ID121,BTCUSDT,1780322460000,2026-06,SHORT,0.033676541905
ID121,BTCUSDT,1780406700000,2026-06,SHORT,0.033739607022
ID121,BTCUSDT,1780516860000,2026-06,SHORT,0.044674566195
ID121,BTCUSDT,1780628460000,2026-06,SHORT,0.018185799353
ID121,BTCUSDT,1782687660000,2026-06,SHORT,-0.017663099124
ID121,BTCUSDT,1787274060000,2026-08,LONG,0.052889999147
V54,BTCUSDT,1725651480000,2024-09,SHORT,-0.024777430688
V54,BTCUSDT,1726750860000,2024-09,LONG,0.034385185109
V54,BTCUSDT,1727427660000,2024-09,LONG,-0.017147821564
V54,BTCUSDT,1729076460000,2024-10,LONG,-0.018116164059
V54,BTCUSDT,1730210520000,2024-10,LONG,-0.018161144661
V54,BTCUSDT,1730923260000,2024-11,LONG,0.042137526528
V54,BTCUSDT,1731261660000,2024-11,LONG,0.095681280454
V54,BTCUSDT,1732161660000,2024-11,LONG,0.023722546252
V54,BTCUSDT,1734307260000,2024-12,LONG,-0.018150614302
