database,template_id,dimension,key,closed,open,wins,losses,net_pnl,net_pf,mean_margin_return_pct,median_holding_h,p90_holding_h
go_binance,59,symbol,1000SHIBUSDT,4,0,2,2,5.06290859,2.32239070,6.32863574,9.89319444,22.20927778
go_binance,59,symbol,1000PEPEUSDT,3,0,2,1,7.32567031,4.57013595,12.20945052,14.56750000,15.09927778
go_binance,59,symbol,RIFUSDT,3,0,1,2,1.42297692,1.45986923,2.37162821,0.82555556,4.99244444
go_binance,59,symbol,VIRTUALUSDT,3,0,2,1,3.32842448,2.64209447,5.54737413,1.66000000,5.16222222
go_binance,59,symbol,JSTUSDT,2,0,1,1,1.14495277,1.62178384,2.86238193,22.68083333,40.40705556
go_binance,59,symbol,COINUSDT,3,0,1,2,-2.99928890,0.22024039,-4.99881483,4.06305556,5.49861111
go_binance,59,symbol,BTWUSDT,2,0,0,2,-5.22412403,0.00000000,-13.06031009,0.37222222,0.65466667
go_binance,59,symbol,DYDXUSDT,2,0,0,2,-3.88061171,0.00000000,-9.70152926,17.03611111,21.04944444
go_binance,59,symbol,COMPUSDT,4,0,2,2,-0.89414630,0.77003761,-1.11768287,5.10388889,23.03725000
go_binance,59,symbol,BRUSDT,5,0,1,4,-7.99627487,0.15949143,-7.99627487,0.43055556,0.61105556
go_binance,59,symbol,CYSUSDT,3,0,0,3,-6.41766350,0.00000000,-10.69610583,0.15972222,0.50616667
go_binance,59,symbol,XMRUSDT,2,0,1,1,0.26117130,1.13900963,0.65292825,0.62416667,0.86261111
go_binance,59,symbol,LAUSDT,4,0,2,2,-2.12601344,0.56094313,-2.65751680,0.08819444,2.46766667
go_binance,59,symbol,AIOTUSDT,3,0,1,2,-2.12975296,0.28842564,-3.54958826,1.80500000,13.27522222
go_binance,59,symbol,SYNUSDT,4,0,2,2,-1.06772280,0.64875025,-1.33465350,1.10847222,3.23794444
go_binance,59,symbol,MUSDT,4,0,1,3,-3.60664795,0.41301808,-4.50830994,0.50875000,6.95800000
go_binance,59,symbol,CLUSDT,4,1,0,4,-7.08341950,0.00000000,-8.85427437,3.23263889,5.03166667
go_binance,59,symbol,TWTUSDT,2,0,0,2,-4.52408330,0.00000000,-11.31020825,0.17597222,0.20852778
go_binance,59,symbol,APRUSDT,2,0,0,2,-5.17532925,0.00000000,-12.93832313,1.08069444,1.61925000
go_binance,59,symbol,CRWVUSDT,5,0,3,2,3.65107185,1.90918245,3.65107185,7.46055556,10.16016667
go_binance,59,symbol,TRXUSDT,2,0,2,0,3.86399235,—,9.65998088,23.32194444,25.20794444
go_binance,59,symbol,1000BONKUSDT,4,0,0,4,-8.56798966,0.00000000,-10.70998707,1.92388889,2.77072222
go_binance,59,symbol,BIOUSDT,4,0,3,1,5.03717150,4.67298028,6.29646438,9.81333333,13.75955556
go_binance,59,symbol,BERAUSDT,3,0,1,2,-1.95618915,0.51681014,-3.26031525,3.41722222,9.80455556
go_binance,59,symbol,ZENUSDT,3,0,2,1,11.49816840,6.74192746,19.16361400,0.76916667,4.50672222
go_binance,59,symbol,CATIUSDT,3,0,0,3,-5.94563532,0.00000000,-9.90939221,0.29194444,4.07016667
go_binance,59,symbol,1000RATSUSDT,4,0,1,3,-4.54844060,0.17523474,-5.68555075,2.69013889,3.33588889
go_binance,59,symbol,XLMUSDT,5,0,2,3,1.44556023,1.32292909,1.44556023,5.64222222,8.92766667
go_binance,59,symbol,FILUSDT,2,0,1,1,0.86443000,1.42333398,2.16107500,7.86444444,10.15155556
go_binance,59,symbol,HBARUSDT,7,0,4,3,10.94133888,3.09999705,7.81524206,5.81972222,14.63716667
go_binance,59,symbol,1000LUNCUSDT,4,0,1,3,-3.85426172,0.36600209,-4.81782715,5.51902778,7.10991667
go_binance,59,symbol,LUNA2USDT,1,0,0,1,-1.99042282,0.00000000,-9.95211410,5.31222222,5.31222222
go_binance,59,symbol,APTUSDT,3,0,0,3,-6.08139875,0.00000000,-10.13566458,0.49888889,0.58622222
go_binance,59,symbol,ARBUSDT,3,0,0,3,-6.28054076,0.00000000,-10.46756793,1.19027778,1.36916667
go_binance,59,symbol,WDCUSDT,2,1,1,1,1.37306400,1.69950359,3.43266000,12.25916667,19.24450000
go_binance,59,symbol,USELESSUSDT,6,0,0,6,-12.19174819,0.00000000,-10.15979016,0.06902778,0.30097222
go_binance,59,symbol,MITOUSDT,3,0,2,1,6.35734041,4.11528323,10.59556734,1.47111111,4.03755556
go_binance,59,symbol,MUBARAKUSDT,3,0,0,3,-6.47051319,0.00000000,-10.78418865,0.39000000,7.40000000
go_binance,59,symbol,ALLOUSDT,4,0,1,3,-1.71041447,0.67372042,-2.13801809,2.80555556,8.31877778
go_binance,59,symbol,LINKUSDT,4,0,1,3,-5.06501741,0.14791145,-6.33127176,1.95166667,3.40727778
go_binance,59,symbol,SANDUSDT,4,0,1,3,-4.98772951,0.15264106,-6.23466189,2.00222222,3.36200000
go_binance,59,symbol,BICOUSDT,5,0,1,4,-5.45429871,0.31884209,-5.45429871,0.08055556,2.29044444
go_binance,59,symbol,AAVEUSDT,2,0,1,1,4.77824750,3.39581466,11.94561875,7.29263889,10.10341667
go_binance,59,symbol,DODOXUSDT,2,0,0,2,-4.09660106,0.00000000,-10.24150264,4.03333333,4.28688889
go_binance,59,symbol,PARTIUSDT,3,0,2,1,4.77327251,3.12512471,7.95545418,4.52027778,4.92761111
go_binance,59,symbol,KAITOUSDT,2,0,0,2,-3.98328685,0.00000000,-9.95821713,2.39277778,3.71877778
go_binance,59,symbol,HOMEUSDT,2,0,1,1,-0.08681123,0.96087078,-0.21702806,10.37250000,14.61850000
go_binance,59,symbol,BMTUSDT,2,0,0,2,-4.20023500,0.00000000,-10.50058750,0.25902778,0.31580556
go_binance,59,symbol,CRVUSDT,2,0,2,0,24.37249672,—,60.93124180,13.67944444,18.24055556
go_binance,59,symbol,BTRUSDT,2,0,0,2,-4.67432525,0.00000000,-11.68581314,0.00333333,0.00422222
