symbol,event_time,year,premium,z,side,r1,r4,r12
SOLUSDT,1705416300000,2024,0.00083268,3.2856059871712158,SHORT,-0.012248386752771404,-0.0061222563335577886,-0.04692728490013658
SOLUSDT,1705455300000,2024,0.00110024,4.369429670432009,SHORT,-0.012934489230493097,0.013848377846916383,-0.017235443258104704
SOLUSDT,1705487400000,2024,0.00120143,4.692238520430524,SHORT,-0.0011961958480961577,0.005341477914021349,0.0069010940513724185
SOLUSDT,1705503000000,2024,0.00099431,3.2732448163609367,SHORT,0.01969255789908911,0.010679698715407745,0.0037056293793343046
SOLUSDT,1705533900000,2024,0.00101347,3.1103032697861903,SHORT,0.011380651889629953,0.021761178532087914,0.03175532962583214
SOLUSDT,1705585200000,2024,-0.00063927,-3.9512455792704957,LONG,0.005195184419218278,-0.03253583792697172,-0.053567418816918094
SOLUSDT,1705610700000,2024,-0.00055518,-3.0711943897240035,LONG,0.0035235105460422788,0.003268446459808127,0.008790892060624524
SOLUSDT,1705615800000,2024,-0.00063697,-3.099432989379798,LONG,-0.002391484917902119,-0.022164236297659793,0.004197698487763458
SOLUSDT,1705675800000,2024,0.00084751,3.313205529023682,SHORT,0.01615164724708602,-0.0036698868655601,-0.007486890009531416
SOLUSDT,1705681800000,2024,0.00139187,4.917142749551361,SHORT,-0.0327121317151367,-0.05047774760083029,-0.05082169308886168
SOLUSDT,1705872600000,2024,0.00067648,3.356395229501595,SHORT,0.011722852312151876,0.02541114508625722,0.056695343676545176
SOLUSDT,1705890900000,2024,-0.00037691,-3.602688056986781,LONG,-0.000816733001694045,0.004663833682988877,-0.022460909852551315
SOLUSDT,1705898400000,2024,-0.00036272,-3.343978202407183,LONG,0.014584735356065316,-0.0057146569158753055,-0.030311946246845526
SOLUSDT,1705910100000,2024,0.00066889,3.3442803721736105,SHORT,0.012764739245362661,0.010010837563268562,0.06451387130524477
SOLUSDT,1705931700000,2024,0.00065136,3.1740343203673844,SHORT,0.013970197447841498,0.020453406900735136,0.05034334862203585
SOLUSDT,1705943700000,2024,0.000905,4.127031119831445,SHORT,0.00961239999962796,0.026042136185340608,0.01737174864344228
SOLUSDT,1705945200000,2024,0.0007755,3.2725139548082947,SHORT,0.00961239999962796,0.026042136185340608,0.01737174864344228
SOLUSDT,1705968300000,2024,0.00091347,3.43851361156284,SHORT,0.005335175637767397,-0.007639546346059549,0.05290970569193774
SOLUSDT,1705980000000,2024,-0.0005167,-3.031750839600792,LONG,0.002579164139731246,-0.02827518829485024,-0.02993086783387296
SOLUSDT,1706002200000,2024,-0.00212815,-9.828494164586875,LONG,-0.01176078934420936,-0.011672602034306206,0.008616521302328137
SOLUSDT,1706024400000,2024,0.00117309,3.596111942185831,SHORT,-0.006978748650534769,0.021183892135443257,-0.010647421613986305
SOLUSDT,1706135700000,2024,0.00045731,3.2955087237351086,SHORT,-0.014002747888618605,-0.004992658183973567,-0.005481463972981915
SOLUSDT,1706229300000,2024,0.00056251,3.5119118311270516,SHORT,0.006866058580443513,-0.010319631206242632,-0.042287409074606055
SOLUSDT,1706234700000,2024,-0.00080471,-3.4103288045255993,LONG,-0.001931226246907112,-0.009601971344905676,0.043549341473901375
SOLUSDT,1706255400000,2024,-0.0007345,-3.0980149472330822,LONG,0.008538256329919386,0.054880571874950566,0.0646685429146063
SOLUSDT,1706267400000,2024,-0.00089859,-3.514100872341016,LONG,-0.013109304432389569,0.004786749543320635,0.003822559902454287
SOLUSDT,1706268900000,2024,-0.00083608,-3.064216310541497,LONG,-0.013109304432389569,0.004786749543320635,0.003822559902454287
SOLUSDT,1706292900000,2024,-0.00112333,-3.463427704264314,LONG,-0.003087534524895732,-0.008922802484664693,-0.019140533696888447
SOLUSDT,1706438700000,2024,0.00094497,6.458862927633109,SHORT,0.005857926957059649,0.022151608186751544,0.04280963941161236
SOLUSDT,1706445900000,2024,0.0002629,3.0885026397928987,SHORT,0.003222921321545228,0.004966600926372112,0.026865665049079904
SOLUSDT,1706632800000,2024,-0.00105018,-3.0896128816184993,LONG,0.0035079873670303473,0.004633286691392469,-0.03640913814547699
SOLUSDT,1706684700000,2024,-0.00109683,-3.343671204553549,LONG,-0.005546906186217029,-0.024873979246449147,-0.006497504837843503
SOLUSDT,1706736300000,2024,-0.00117824,-3.7984070466643005,LONG,0.0040236959329665156,-0.03216981697322411,-0.013857178175978587
SOLUSDT,1706742900000,2024,-0.00111785,-3.235043367214231,LONG,0.0038209850238267317,-0.03480574949316615,-0.01559931798270417
SOLUSDT,1706748000000,2024,-0.00139944,-4.24247438617644,LONG,-0.03272506407244218,-0.03288439869141182,-0.021025195650144133
SOLUSDT,1706849400000,2024,0.00027397,3.1816827642774945,SHORT,-0.0024113050380441714,-0.014072660612488136,-0.010350602899510317
SOLUSDT,1706926500000,2024,-0.00157237,-7.023216665283765,LONG,-0.0032111158276440393,0.0006229090051012351,-0.018890498940287884
SOLUSDT,1706932800000,2024,-0.00096245,-3.324131120511996,LONG,0.0039042896100979978,-0.0012913641826872559,-0.012417478875596586
SOLUSDT,1707119400000,2024,-0.00081613,-3.029352665743945,LONG,-0.0014877214446719445,0.003142580421393318,-0.016863248091912506
SOLUSDT,1707140400000,2024,-0.0009371,-3.4508577305283623,LONG,-0.005318265575736094,-0.027192553368852165,-0.02522775193412635
SOLUSDT,1707190500000,2024,0.00045288,5.165580990034183,SHORT,0.0060305051566950044,0.002691988270097986,0.002859172162319469
SOLUSDT,1707216300000,2024,-0.00095888,-3.3241440952034376,LONG,0.00341204750740348,0.0031255008699779085,0.03682500550056463
SOLUSDT,1707302700000,2024,0.00040191,3.320116255199482,SHORT,-0.0013041788152567593,-0.005384511322125631,-0.060807234999200044
SOLUSDT,1707317700000,2024,-0.00078021,-3.584067506253561,LONG,0.007259332858519818,0.020360971337404134,0.0659938257040446
SOLUSDT,1707327900000,2024,-0.00093685,-4.525551672880631,LONG,0.000964627000204747,0.03247514126984206,0.0391022414382646
SOLUSDT,1707342300000,2024,0.00069418,4.733904334984483,SHORT,-0.003561706040659814,-0.0156401105392143,-0.011109358452162146
SOLUSDT,1707503700000,2024,0.00015685,3.0076558014028283,SHORT,0.007242934710263206,-0.02009449723700156,-0.030240126681042943
SOLUSDT,1707516300000,2024,0.00034928,3.515327235785456,SHORT,0.008864365240787734,-0.013141785927593241,0.004459606212994588
SOLUSDT,1707531000000,2024,0.00040269,3.190412520102528,SHORT,-0.012230593983131019,0.0029962775141152503,0.009754739775486373
SOLUSDT,1707698100000,2024,0.00060759,4.395547016044822,SHORT,0.005732473316090904,0.028513610847453897,0.03891921499228978
SOLUSDT,1707705600000,2024,-0.00088302,-5.701296901661589,LONG,0.004101825167302195,-0.004099743946115383,0.007643181439608241
SOLUSDT,1707727500000,2024,-0.00068699,-3.8274452848773297,LONG,-0.009198787686423812,-0.011626599739090797,0.048449571155865
SOLUSDT,1707729000000,2024,-0.00058953,-3.1461477734781202,LONG,-0.0021311882985843252,-0.002657516691796482,0.051537660602082834
SOLUSDT,1707737100000,2024,0.00049735,3.1835417371442047,SHORT,-0.002616008966194727,-0.043310141081535976,-0.06963425110814309
SOLUSDT,1707756300000,2024,0.00052068,3.1313628146904025,SHORT,-0.009665979148088496,-0.02041165883049273,-0.04657060209290895
SOLUSDT,1707759000000,2024,0.00097615,5.329582714552868,SHORT,0.0006013941590888799,-0.004634981442198461,-0.03967502353143876
SOLUSDT,1707763500000,2024,0.00063293,3.0914836698698016,SHORT,-0.0011296039389045477,-0.01757308047909883,-0.03731318887470575
SOLUSDT,1707772500000,2024,0.00126652,4.614266697802839,SHORT,-0.01219159176734952,-0.035831638938549494,-0.03982097691087857
SOLUSDT,1707782100000,2024,0.0011834,3.329719809433925,SHORT,-0.020515357006472647,-0.012204059922427365,-0.021672044453060643
SOLUSDT,1707900900000,2024,0.0012393,3.696521627221141,SHORT,-0.010895467295447494,-0.005990745312628851,-0.013141180091188231
SOLUSDT,1707917100000,2024,0.00121783,3.036384618657545,SHORT,0.0005422580094746571,0.018008494980078893,0.012546937980663385
SOLUSDT,1707920700000,2024,0.00181943,5.692671012475425,SHORT,0.008408560181103053,0.01944301265954753,0.010496100722230305
SOLUSDT,1707927300000,2024,0.00140674,3.1862026442036306,SHORT,0.0024549401824824927,-0.0010060752309358604,-0.0011779526483850606
SOLUSDT,1708009500000,2024,8.503e-05,-3.2120013924233954,SHORT,-0.0007707061976677477,0.0005082904025024012,0.0017362637869929413
SOLUSDT,1708011300000,2024,0.00010924,-3.0714457154026658,SHORT,-0.0007707061976677477,0.0005082904025024012,0.0017362637869929413
SOLUSDT,1708014900000,2024,5.587e-05,-3.2990452822312095,SHORT,0.007160616622096128,0.009084695555684006,0.007292888838509886
SOLUSDT,1708043100000,2024,0.00121988,3.0030291257740402,SHORT,-0.0011546582040613948,-6.173302233598027e-05,0.0025608660887281244
SOLUSDT,1708049400000,2024,0.00142884,3.8716903515645518,SHORT,0.0016486459409339276,0.01335470143346685,0.03819606457498921
SOLUSDT,1708205100000,2024,0.00135216,3.075201505210169,SHORT,0.0002743710061934568,0.009195741637695902,-0.014371885403095858
SOLUSDT,1708215600000,2024,0.00141231,3.36432058589125,SHORT,0.008363250657821562,0.0017679097016861608,-0.01506915780192826
SOLUSDT,1708348200000,2024,0.00145001,3.822667478904181,SHORT,-0.0025975646988494433,0.0021254746037127556,0.028481319309075426
SOLUSDT,1708365300000,2024,0.00147954,3.685904903108649,SHORT,0.006367918778225883,-0.0010101547990672124,0.017123170168647953
SOLUSDT,1708440000000,2024,0.00014833,-3.3117073010498936,SHORT,0.010827451119227543,0.013888917566348023,0.00864507689861241
SOLUSDT,1708444500000,2024,4.997e-05,-3.299374065333214,SHORT,0.00543438719898909,-0.006868126777007469,-0.0007311038118096446
SOLUSDT,1708533000000,2024,-0.00022662,-4.089924819877738,LONG,-0.01768583974120457,-0.0225327404496487,-0.005283620571936994
SOLUSDT,1708552500000,2024,-2.578e-05,-3.2732225242305595,LONG,0.0004967615073783322,-0.02216408781452312,0.019680459591247784
SOLUSDT,1708603800000,2024,5.275e-05,-3.051987117136258,SHORT,0.011714494812703166,0.009792526125733572,0.024259184643832657
SOLUSDT,1708698600000,2024,6.434e-05,-3.689104465459752,SHORT,0.019351972872286044,0.008115565598948242,0.024757364435058042
SOLUSDT,1708704300000,2024,-7.05e-06,-3.803087141404678,LONG,0.010833913382248064,0.010646924832291486,0.0063760485329197305
SOLUSDT,1708733700000,2024,0.00143207,3.260551797780515,SHORT,0.01852508458037429,-0.005342014814806948,-0.016801487054397206
